handleId,fieldType,name,description,productImageUrl,collection,sku,price,inventory,weight,visible,ribbon,surcharge,discountMode,discountValue,productOptionName,productOptionType,productOptionDescription,additionalInfoTitle,Additional info description,customTextField,customTextCharLimit,customTextMandatory
beach_20,Product,I love you to the beach ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_20.jpg,beach,beach_20,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_21,Product,I need vitamin ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_21.jpg,beach,beach_21,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_22,Product,If youre not barefoot ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_22.jpg,beach,beach_22,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_23,Product,Let the waves hit ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_23.jpg,beach,beach_23,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_24,Product,Let your worries drift away ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_24.jpg,beach,beach_24,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_25,Product,Lets go to the Beach,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_25.jpg,beach,beach_25,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_26,Product,Life Is Better at The Beach,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_26.jpg,beach,beach_26,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_27,Product,Life is at ease with ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_27.jpg,beach,beach_27,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_28,Product,Life is better at the beach ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_28.jpg,beach,beach_28,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
beach_29,Product,Life is better in flip ,"Laser engraving on a 10cm x 15cm (4"" x 6"") piece of wood.",https://iandouglasllc-engraver.herokuapp.com/img/beach/beach_29.jpg,beach,beach_29,3.99,InStock,0.25,TRUE,,,,,,,,,,,,
